Taxon	ORDER	so	Family	Br_Length
Halcyon_senegalensis CORACIIFORMES npass Alcedinidae 20.780251
Pelargopsis_capensis CORACIIFORMES npass Alcedinidae 6.367269
Lacedo_pulchella CORACIIFORMES npass Alcedinidae 9.907122
Hylomanes_momotula CORACIIFORMES npass Momotidae 35.852672
Momotus_momota CORACIIFORMES npass Momotidae 2.094865
Todus_angustirostris CORACIIFORMES npass Todidae 34.084160
Todus_mexicanus CORACIIFORMES npass Todidae 3.923542
Atelornis_pittoides CORACIIFORMES npass Brachypteraciidae 20.558194
Geobiastes_squamiger CORACIIFORMES npass Brachypteraciidae 22.005980
Coracias_caudatus CORACIIFORMES npass Coraciidae 0.045289
Coracias_abyssinicus CORACIIFORMES npass Coraciidae 12.645192
Merops_nubicus CORACIIFORMES npass Meropidae 10.371799
Merops_muelleri CORACIIFORMES npass Meropidae 28.689803
Nyctyornis_amictus CORACIIFORMES npass Meropidae 1.806088
Bucco_capensis PICIFORMES npass Bucconidae 20.732284
Bucco_macrodactylus PICIFORMES npass Bucconidae 0.046146
Malacoptila_fusca PICIFORMES npass Bucconidae 11.443973
Nonnula_ruficapilla PICIFORMES npass Bucconidae 15.117160
Brachygalba_albogularis PICIFORMES npass Galbulidae 28.107041
Galbula_chalcothorax PICIFORMES npass Galbulidae 9.336482
Galbula_dea PICIFORMES npass Galbulidae 0.018717
Galbula_leucogastra PICIFORMES npass Galbulidae 7.705642
Galbula_albirostris PICIFORMES npass Galbulidae 11.160436
Capito_niger PICIFORMES npass Capitonidae 23.775843
Ramphastos_ambiguus PICIFORMES npass Ramphastidae 15.165068
Buccanodon_duchaillui PICIFORMES npass Lybiidae 28.379722
Pogoniulus_bilineatus PICIFORMES npass Lybiidae 3.338705
Psilopogon_virens PICIFORMES npass Megalaimidae 19.636858
Psilopogon_chrysopogon PICIFORMES npass Megalaimidae 4.485057
Indicator_exilis PICIFORMES npass Indicatoridae 24.406900
Indicator_maculatus PICIFORMES npass Indicatoridae 14.154000
Prodotiscus_insignis PICIFORMES npass Indicatoridae 3.145519
Dryobates_pubescens PICIFORMES npass Picidae 17.477102
Sphyrapicus_varius PICIFORMES npass Picidae 5.320078
Dryocopus_pileatus PICIFORMES npass Picidae 12.792181
Picus_canus PICIFORMES npass Picidae 12.416436
Jynx_ruficollis PICIFORMES npass Picidae 11.263707
Jynx_torquilla PICIFORMES npass Picidae 0.628957
Apaloderma_narina TROGONIFORMES npass Trogonidae 3.806785
Apaloderma_aequatoriale TROGONIFORMES npass Trogonidae 9.384931
Apaloderma_vittatum TROGONIFORMES npass Trogonidae 20.266606
Pharomachrus_auriceps TROGONIFORMES npass Trogonidae 30.756663
Trogon_elegans TROGONIFORMES npass Trogonidae 11.839416
Trogon_personatus TROGONIFORMES npass Trogonidae 1.354489
Leptosomus_discolor LEPTOSOMIFORMES npass Leptosomidae 1.520598
Colius_colius COLIIFORMES npass Coliidae 12.054922
Colius_striatus COLIIFORMES npass Coliidae 12.887688
Urocolius_indicus COLIIFORMES npass Coliidae 0.084306
Athene_cunicularia STRIGIFORMES npass Strigidae 47.295238
Strix_occidentalis STRIGIFORMES npass Strigidae 30.922876
Strix_varia STRIGIFORMES npass Strigidae 8.538776
Phodilus_badius STRIGIFORMES npass Tytonidae 34.826602
Tyto_alba STRIGIFORMES npass Tytonidae 0.066770
Daptrius_ater FALCONIFORMES npass Falconidae 11.861688
Ibycter_americanus FALCONIFORMES npass Falconidae 5.350106
Caracara_cheriway FALCONIFORMES npass Falconidae 17.457733
Falco_cherrug FALCONIFORMES npass Falconidae 4.204672
Falco_peregrinus FALCONIFORMES npass Falconidae 5.297352
Falco_mexicanus FALCONIFORMES npass Falconidae 1.611520
Falco_sparverius FALCONIFORMES npass Falconidae 11.214677
Herpetotheres_cachinnans FALCONIFORMES npass Falconidae 28.098353
Micrastur_gilvicollis FALCONIFORMES npass Falconidae 23.148436
Micrastur_semitorquatus FALCONIFORMES npass Falconidae 21.198317
Cacatua_sulphurea PSITTACIFORMES npass Cacatuidae 19.059924
Probosciger_aterrimus PSITTACIFORMES npass Cacatuidae 11.208633
Amazona_autumnalis PSITTACIFORMES npass Psittacidae 24.047076
Ara_macao PSITTACIFORMES npass Psittacidae 14.650408
Deroptyus_accipitrinus PSITTACIFORMES npass Psittacidae 3.211183
Psittacus_erithacus PSITTACIFORMES npass Psittacidae 0.938670
Alisterus_scapularis PSITTACIFORMES npass Psittaculidae 17.988307
Psittacula_alexandri PSITTACIFORMES npass Psittaculidae 1.549051
Micropsitta_finschii PSITTACIFORMES npass Psittaculidae 5.107360
Chalcopsitta_atra PSITTACIFORMES npass Psittaculidae 3.243406
Chalcopsitta_scintillata PSITTACIFORMES npass Psittaculidae 0.051401
Chalcopsitta_duivenbodei PSITTACIFORMES npass Psittaculidae 1.927267
Pseudeos_cardinalis PSITTACIFORMES npass Psittaculidae 5.080385
Pseudeos_fuscata PSITTACIFORMES npass Psittaculidae 0.050803
Eos_bornea PSITTACIFORMES npass Psittaculidae 1.890899
Eos_cyanogenia PSITTACIFORMES npass Psittaculidae 1.833055
Eos_squamata PSITTACIFORMES npass Psittaculidae 1.403383
Eos_histrio PSITTACIFORMES npass Psittaculidae 0.094505
Eos_reticulata PSITTACIFORMES npass Psittaculidae 1.135063
Trichoglossus_ornatus PSITTACIFORMES npass Psittaculidae 2.627640
Psitteuteles_iris PSITTACIFORMES npass Psittaculidae 0.040531
Trichoglossus_johnstoniae PSITTACIFORMES npass Psittaculidae 0.039552
Trichoglossus_capistratus PSITTACIFORMES npass Psittaculidae 0.668701
Trichoglossus_forsteni PSITTACIFORMES npass Psittaculidae 0.239938
Trichoglossus_weberi PSITTACIFORMES npass Psittaculidae 0.044951
Trichoglossus_euteles PSITTACIFORMES npass Psittaculidae 0.039063
Trichoglossus_rubritorquis PSITTACIFORMES npass Psittaculidae 0.067211
Trichoglossus_moluccanus PSITTACIFORMES npass Psittaculidae 0.297337
Trichoglossus_haematodus PSITTACIFORMES npass Psittaculidae 0.129696
Trichoglossus_chlorolepidotus PSITTACIFORMES npass Psittaculidae 0.680327
Glossopsitta_concinna PSITTACIFORMES npass Psittaculidae 1.185218
Psitteuteles_goldiei PSITTACIFORMES npass Psittaculidae 0.993904
Parvipsitta_porphyrocephala PSITTACIFORMES npass Psittaculidae 4.633947
