1	ORDER	FAMILY	TAXON	AUTHORITY	YEAR	REFERENCE	URL		
11429	PSITTACIFORMES	Psittacidae	Pyrrhura molinae flavoptera	"Maijer, Herzog, Kessler, Friggens & Fjeldså"	1998	Orn. Neotrop. 9: 186	https://sora.unm.edu/sites/default/files/journals/on/v009n02/p0185-p0192.pdf		
11430	PSITTACIFORMES	Psittacidae	Pyrrhura pfrimeri	Miranda-Ribeiro	1920	Rev. Mus. Paulista 12 (2): 36	https://biodiversitylibrary.org/page/10804270		
11431	PSITTACIFORMES	Psittacidae	Pyrrhura griseipectus	Salvadori	1900	Ibis (Ser. 7) 6: 672	https://biodiversitylibrary.org/page/8628499		
11432	PSITTACIFORMES	Psittacidae	Pyrrhura leucotis	(Kuhl)	1820	Nova Acta Acad. Caes. Leop. Carol. 10: 21	https://biodiversitylibrary.org/page/37020439		
11433	PSITTACIFORMES	Psittacidae	Pyrrhura picta	"(Müller, PLS)"	1776	Natursyst. Suppl. 9: 75	https://biodiversitylibrary.org/page/52710028		
11434	PSITTACIFORMES	Psittacidae	Pyrrhura picta picta	"(Müller, PLS)"	1776	Natursyst. Suppl. 9: 75	https://biodiversitylibrary.org/page/52710028		
11435	PSITTACIFORMES	Psittacidae	Pyrrhura picta subandina	Todd	1917	Proc. Biol. Soc. Wash. 30: 6	https://biodiversitylibrary.org/page/3334989		
11436	PSITTACIFORMES	Psittacidae	Pyrrhura picta caeruleiceps	Todd	1947	Ann. Carnegie Mus. Nat. Hist. 30: 337	https://biodiversitylibrary.org/page/52337267		
11437	PSITTACIFORMES	Psittacidae	Pyrrhura picta eisenmanni	Delgado	1985	Orn. Monogr. 36: 17			
11438	PSITTACIFORMES	Psittacidae	Pyrrhura emma	Salvadori	1891	"Cat. Birds Brit. Mus. 20: 212, 217 pl. 1"	https://biodiversitylibrary.org/page/8382517		
11439	PSITTACIFORMES	Psittacidae	Pyrrhura amazonum	Hellmayr	1906	Bull. B.O.C. 19: 8	https://biodiversitylibrary.org/page/32433090		
11440	PSITTACIFORMES	Psittacidae	Pyrrhura amazonum amazonum	Hellmayr	1906	Bull. B.O.C. 19: 8	https://biodiversitylibrary.org/page/32433090		
11441	PSITTACIFORMES	Psittacidae	Pyrrhura amazonum snethlageae	"Joseph & Bates, JM"	2002	Orn. Neotrop. 13: 354	https://sora.unm.edu/sites/default/files/journals/on/v013n04/p0337-p0364.pdf		
11442	PSITTACIFORMES	Psittacidae	Pyrrhura amazonum lucida	Arndt	2008	"Papageien 21: 278, 279"	https://d1wqtxts1xzle7.cloudfront.net/35576716/Arndt_2008-with-cover-page-v2.pdf?Expires=1625542435&Signature=SWWASuUxSKvcmVbZpbtw6OBhU3C5sgkdBxDi8U0M19Ep0c9O-3X7JOyq-Xo8WAJj1aPG3qZ3xzbPjT213eoyxZO2zKJVSaimuDK6bh~4E-A7SdlehF~R9KwGoK1d2CLszW741QCdKIFevYmZ5HR5I4zaUnqnboexR8sHXdb8PAevKYYC3QThEm8lcxnKPOoIabhMb4gwww695obOx2QiuEmo9d2x0bBwC0OIUDCtXVsfGU7ee1kM~pqTbt2yT0BWmiiEDXL1Jl4vR7jJ9X69BbpY1prsXyDXuHZ6QbIbxtyZKa~Vm6ULAOVw41ep9IwypItZfPJM9ky31bqnJxN~MQ__&Key-Pair-Id=APKAJLOHF5GGSLRBV4ZA		
11443	PSITTACIFORMES	Psittacidae	Pyrrhura lucianii	(Deville)	1851	Rev. Mag. Zool. (Ser. 2) 3: 210	https://biodiversitylibrary.org/page/2321197		
11444	PSITTACIFORMES	Psittacidae	Pyrrhura roseifrons	"(Gray, GR)"	1859	List Birds Brit. Mus. 3 (2): 42	https://biodiversitylibrary.org/page/19060003		
11445	PSITTACIFORMES	Psittacidae	Pyrrhura roseifrons roseifrons	"(Gray, GR)"	1859	List Birds Brit. Mus. 3 (2): 42	https://biodiversitylibrary.org/page/19060003		
11446	PSITTACIFORMES	Psittacidae	Pyrrhura roseifrons peruviana	"Hocking, Blake & Joseph"	2002	Orn. Neotrop. 13: 356	https://sora.unm.edu/sites/default/files/journals/on/v013n04/p0337-p0364.pdf		
11447	PSITTACIFORMES	Psittacidae	Pyrrhura roseifrons dilutissima	Arndt	2008	Papageien 21: 280	https://d1wqtxts1xzle7.cloudfront.net/35576716/Arndt_2008-with-cover-page-v2.pdf?Expires=1625542435&Signature=SWWASuUxSKvcmVbZpbtw6OBhU3C5sgkdBxDi8U0M19Ep0c9O-3X7JOyq-Xo8WAJj1aPG3qZ3xzbPjT213eoyxZO2zKJVSaimuDK6bh~4E-A7SdlehF~R9KwGoK1d2CLszW741QCdKIFevYmZ5HR5I4zaUnqnboexR8sHXdb8PAevKYYC3QThEm8lcxnKPOoIabhMb4gwww695obOx2QiuEmo9d2x0bBwC0OIUDCtXVsfGU7ee1kM~pqTbt2yT0BWmiiEDXL1Jl4vR7jJ9X69BbpY1prsXyDXuHZ6QbIbxtyZKa~Vm6ULAOVw41ep9IwypItZfPJM9ky31bqnJxN~MQ__&Key-Pair-Id=APKAJLOHF5GGSLRBV4ZA		
11448	PSITTACIFORMES	Psittacidae	Pyrrhura roseifrons parvifrons	Arndt	2008	Papageien 21: 278	https://d1wqtxts1xzle7.cloudfront.net/35576716/Arndt_2008-with-cover-page-v2.pdf?Expires=1625542435&Signature=SWWASuUxSKvcmVbZpbtw6OBhU3C5sgkdBxDi8U0M19Ep0c9O-3X7JOyq-Xo8WAJj1aPG3qZ3xzbPjT213eoyxZO2zKJVSaimuDK6bh~4E-A7SdlehF~R9KwGoK1d2CLszW741QCdKIFevYmZ5HR5I4zaUnqnboexR8sHXdb8PAevKYYC3QThEm8lcxnKPOoIabhMb4gwww695obOx2QiuEmo9d2x0bBwC0OIUDCtXVsfGU7ee1kM~pqTbt2yT0BWmiiEDXL1Jl4vR7jJ9X69BbpY1prsXyDXuHZ6QbIbxtyZKa~Vm6ULAOVw41ep9IwypItZfPJM9ky31bqnJxN~MQ__&Key-Pair-Id=APKAJLOHF5GGSLRBV4ZA		
11449	PSITTACIFORMES	Psittacidae	Pyrrhura viridicata	Todd	1913	Proc. Biol. Soc. Wash. 26: 174	https://biodiversitylibrary.org/page/3337887		
11450	PSITTACIFORMES	Psittacidae	Pyrrhura egregia	"(Sclater, PL)"	1881	Ibis (Ser. 4) 5: 130 pl. 4	https://biodiversitylibrary.org/page/16251383		
11451	PSITTACIFORMES	Psittacidae	Pyrrhura egregia egregia	"(Sclater, PL)"	1881	Ibis (Ser. 4) 5: 130 pl. 4	https://biodiversitylibrary.org/page/16251383		
11452	PSITTACIFORMES	Psittacidae	Pyrrhura egregia obscura	"Zimmer, JT & Phelps"	1946	Am. Mus. Novit. 1312: 1	http://hdl.handle.net/2246/4451		
11453	PSITTACIFORMES	Psittacidae	Pyrrhura melanura	(Spix)	1824	Av. Sp. Nov. Brasil. 1: 36 pl. 22	https://biodiversitylibrary.org/page/41277631		
11454	PSITTACIFORMES	Psittacidae	Pyrrhura melanura melanura	(Spix)	1824	Av. Sp. Nov. Brasil. 1: 36 pl. 22	https://biodiversitylibrary.org/page/41277631		
11455	PSITTACIFORMES	Psittacidae	Pyrrhura melanura souancei	"(Verreaux, J)"	1858	Rev. Mag. Zool. (Ser. 2) 10: 437 pl. 12	https://biodiversitylibrary.org/page/2316712		
11456	PSITTACIFORMES	Psittacidae	Pyrrhura melanura berlepschi	Salvadori	1891	"Cat. Birds Brit. Mus. 20: 212, 224 pl. 2 fig. 1"	https://biodiversitylibrary.org/page/8382517		
11457	PSITTACIFORMES	Psittacidae	Pyrrhura melanura pacifica	Chapman	1915	Bull. Am. Mus. Nat. Hist. 34: 382	http://hdl.handle.net/2246/821		
11458	PSITTACIFORMES	Psittacidae	Pyrrhura melanura chapmani	"Bond, J & Meyer de Schauensee"	1940	Proc. Acad. Nat. Sci. Philadelphia 92: 156	https://www.jstor.org/stable/4064306		
11459	PSITTACIFORMES	Psittacidae	Pyrrhura orcesi	Ridgely & Robbins	1988	Wilson Bull. 100: 174	https://sora.unm.edu/sites/default/files/journals/wilson/v100n02/p0173-p0182.pdf		
11460	PSITTACIFORMES	Psittacidae	Pyrrhura albipectus	Chapman	1914	Bull. Am. Mus. Nat. Hist. 33: 319	http://hdl.handle.net/2246/819		
11461	PSITTACIFORMES	Psittacidae	Pyrrhura rupicola	(Tschudi)	1844	Arch. Naturgesch. 10: 304	https://biodiversitylibrary.org/page/13704207		
11462	PSITTACIFORMES	Psittacidae	Pyrrhura rupicola rupicola	(Tschudi)	1844	Arch. Naturgesch. 10: 304	https://biodiversitylibrary.org/page/13704207		
11463	PSITTACIFORMES	Psittacidae	Pyrrhura rupicola sandiae	"Bond, J & Meyer de Schauensee"	1944	Notulae Naturae 138: 1			
11464	PSITTACIFORMES	Psittacidae	Pyrrhura calliptera	(Massena & Souancé)	1854	Rev. Mag. Zool. (Ser. 2) 6: 72	https://biodiversitylibrary.org/page/13681143		
11465	PSITTACIFORMES	Psittacidae	Pyrrhura hoematotis	Souancé	1857	Rev. Mag. Zool. (Ser. 2) 9: 97	https://biodiversitylibrary.org/page/13712233		
11466	PSITTACIFORMES	Psittacidae	Pyrrhura hoematotis hoematotis	Souancé	1857	Rev. Mag. Zool. (Ser. 2) 9: 97	https://biodiversitylibrary.org/page/13712233		
11467	PSITTACIFORMES	Psittacidae	Pyrrhura hoematotis immarginata	"Zimmer, JT & Phelps"	1944	Am. Mus. Novit. 1270: 4	http://hdl.handle.net/2246/5095		
11468	PSITTACIFORMES	Psittacidae	Pyrrhura rhodocephala	"(Sclater, PL & Salvin)"	1871	"Proc. Zool. Soc. London (1871): 782, 787"	https://biodiversitylibrary.org/page/28555674		
11469	PSITTACIFORMES	Psittacidae	Pyrrhura hoffmanni	(Cabanis)	1861	Sitz. Ges. Nat. Freunde Berlin [no: ]			
11470	PSITTACIFORMES	Psittacidae	Pyrrhura hoffmanni hoffmanni	(Cabanis)	1861	Sitz. Ges. Nat. Freunde Berlin [no: ]			
11471	PSITTACIFORMES	Psittacidae	Pyrrhura hoffmanni gaudens	Bangs	1906	Proc. Biol. Soc. Wash. 19: 103	https://biodiversitylibrary.org/page/3329161		
11472	PSITTACIFORMES	Psittacidae	Enicognathus	"Gray, GR"	1840				
11473	PSITTACIFORMES	Psittacidae	Enicognathus ferrugineus	"(Müller, PLS)"	1776	Natursyst. Suppl. 9: 75	https://biodiversitylibrary.org/page/52710028		
11474	PSITTACIFORMES	Psittacidae	Enicognathus ferrugineus ferrugineus	"(Müller, PLS)"	1776	Natursyst. Suppl. 9: 75	https://biodiversitylibrary.org/page/52710028		
11475	PSITTACIFORMES	Psittacidae	Enicognathus leptorhynchus	"(King, PP)"	1831	Proc. Comm. Zool. Soc. London pt 1: 14	https://biodiversitylibrary.org/page/12861422		
11476	PSITTACIFORMES	Psittacidae	Enicognathus ferrugineus minor	(Chapman)	1919	Bull. Am. Mus. Nat. Hist. 41: 323	http://hdl.handle.net/2246/1747		
11477	PSITTACIFORMES	Psittacidae	Cyanoliseus	Bonaparte	1854				
11478	PSITTACIFORMES	Psittacidae	Cyanoliseus patagonus	(Vieillot)	1818	Nouv. Dict. d'Hist. Nat. 25: 367	https://biodiversitylibrary.org/page/18044135		
11479	PSITTACIFORMES	Psittacidae	Cyanoliseus patagonus patagonus	(Vieillot)	1818	Nouv. Dict. d'Hist. Nat. 25: 367	https://biodiversitylibrary.org/page/18044135		
11480	PSITTACIFORMES	Psittacidae	Cyanoliseus patagonus andinus	Dabbene & Lillo	1913	An. Mus. Nac. Hist. Nat. Buenos Aires 24: 188 pl. pl. 10	https://biodiversitylibrary.org/page/14714121		
11481	PSITTACIFORMES	Psittacidae	Cyanoliseus patagonus conlara	Nores & Yzurieta	1983	Hornero Extra Number: 91			
11482	PSITTACIFORMES	Psittacidae	Cyanoliseus patagonus bloxami	Olson	1995	Bull. B.O.C. 115: 238	https://biodiversitylibrary.org/page/40029015		
11483	PSITTACIFORMES	Psittacidae	Anodorhynchus	Spix	1824				
11484	PSITTACIFORMES	Psittacidae	Anodorhynchus hyacinthinus	(Latham)	1790	Index Orn. 1: 84	https://biodiversitylibrary.org/page/53510455		
11485	PSITTACIFORMES	Psittacidae	Anodorhynchus leari	Bonaparte	1856	Naumannia 6 Consp. Psitt. in Beilag. no. 1	https://biodiversitylibrary.org/page/13881820		
11486	PSITTACIFORMES	Psittacidae	Anodorhynchus glaucus  qq 	(Vieillot)	1816	Nouv. Dict. d'Hist. Nat. 2: 259	https://biodiversitylibrary.org/page/21108101		
11487	PSITTACIFORMES	Psittacidae	Rhynchopsitta	Bonaparte	1854				
11488	PSITTACIFORMES	Psittacidae	Rhynchopsitta pachyrhyncha	(Swainson)	1827	Philos. Mag. n.s. 1: 439	https://biodiversitylibrary.org/page/15530449		
11489	PSITTACIFORMES	Psittacidae	Rhynchopsitta terrisi	"Moore, RT"	1947	Proc. Biol. Soc. Wash. 60: 27	https://biodiversitylibrary.org/page/34498261		
11490	PSITTACIFORMES	Psittacidae	Eupsittula	Bonaparte	1853				
11491	PSITTACIFORMES	Psittacidae	Eupsittula nana	(Vigors)	1830	Zool. Journ. 5: 273	https://biodiversitylibrary.org/page/27657636		
11492	PSITTACIFORMES	Psittacidae	Eupsittula nana nana	(Vigors)	1830	Zool. Journ. 5: 273	https://biodiversitylibrary.org/page/27657636		
11493	PSITTACIFORMES	Psittacidae	Eupsittula nana astec	(Souancé)	1857	Rev. Mag. Zool. (Ser. 2) 9: 97	https://biodiversitylibrary.org/page/13712233		
11494	PSITTACIFORMES	Psittacidae	Eupsittula nana vicinalis	"Bangs & Penard, TE"	1919	Bull. Mus. Comp. Zool. 63: 24	https://biodiversitylibrary.org/page/30574451		
11495	PSITTACIFORMES	Psittacidae	Eupsittula canicularis	(Linnaeus)	1758	Syst. Nat. (ed. 10) 1: 98	https://biodiversitylibrary.org/page/727005		
11496	PSITTACIFORMES	Psittacidae	Eupsittula canicularis canicularis	(Linnaeus)	1758	Syst. Nat. (ed. 10) 1: 98	https://biodiversitylibrary.org/page/727005		
11497	PSITTACIFORMES	Psittacidae	Eupsittula canicularis eburnirostrum	"(Lesson, R)"	1842	Rev. Zool. 5: 135	https://biodiversitylibrary.org/page/14714664		
11498	PSITTACIFORMES	Psittacidae	Eupsittula canicularis clarae	"(Moore, RT)"	1937	Proc. Biol. Soc. Wash. 50: 101	https://biodiversitylibrary.org/page/34510362		
11499	PSITTACIFORMES	Psittacidae	Eupsittula aurea	"(Gmelin, JF)"	1788	Syst. Nat. (ed. 12) 1: 329	https://biodiversitylibrary.org/page/2896929329		
11500	PSITTACIFORMES	Psittacidae	Eupsittula pertinax	(Linnaeus)	1758	Syst. Nat. (ed. 10) 1: 98	https://biodiversitylibrary.org/page/727005		
11501	PSITTACIFORMES	Psittacidae	Eupsittula pertinax aeruginosa	(Linnaeus)	1758	Syst. Nat. (ed. 10) 1: 98	https://biodiversitylibrary.org/page/727005		
11502	PSITTACIFORMES	Psittacidae	Eupsittula pertinax pertinax	(Linnaeus)	1758	Syst. Nat. (ed. 10) 1: 98	https://biodiversitylibrary.org/page/727005		
11503	PSITTACIFORMES	Psittacidae	Eupsittula pertinax chrysophrys	(Swainson)	1838	Anim. Menag.: 320	https://biodiversitylibrary.org/page/28995031		
11504	PSITTACIFORMES	Psittacidae	Eupsittula pertinax xanthogenia	(Bonaparte)	1850	Consp. Gen. Av. 1: 1	https://biodiversitylibrary.org/page/43560002		
11505	PSITTACIFORMES	Psittacidae	Eupsittula pertinax chrysogenys	(Massena & Souancé)	1854	Rev. Mag. Zool. (Ser. 2) 6: 72	https://biodiversitylibrary.org/page/13681143		
11506	PSITTACIFORMES	Psittacidae	Eupsittula pertinax ocularis	"(Sclater, PL & Salvin)"	1865	Proc. Zool. Soc.London (1864): 367	https://biodiversitylibrary.org/page/28500692		
11507	PSITTACIFORMES	Psittacidae	Eupsittula pertinax arubensis	"(Hartert, E)"	1892	Bull. B.O.C. 1: 16	https://biodiversitylibrary.org/page/32475120		
11508	PSITTACIFORMES	Psittacidae	Eupsittula pertinax tortugensis	(Cory)	1909	Field Mus. Nat. Hist. Pub. Orn. Ser. 1: 220	https://biodiversitylibrary.org/page/2654146		
11509	PSITTACIFORMES	Psittacidae	Eupsittula pertinax margaritensis	Cory	1918	Field Mus. Nat. Hist. Pub. Zool. Ser. 13 (2): 63	https://biodiversitylibrary.org/page/819012		
11510	PSITTACIFORMES	Psittacidae	Eupsittula pertinax lehmanni	(Dugand)	1943	Caldasia 2: 191	https://revistas.unal.edu.co/index.php/cal/article/view/31871/31898		
11511	PSITTACIFORMES	Psittacidae	Eupsittula pertinax griseipecta	(Meyer de Schauensee)	1950	Notulae Naturae 221: 6			
11512	PSITTACIFORMES	Psittacidae	Eupsittula pertinax venezuelae	"(Zimmer, JT & Phelps)"	1951	Am. Mus. Novit. 1511: 6	http://hdl.handle.net/2246/3971		
11513	PSITTACIFORMES	Psittacidae	Eupsittula pertinax surinama	"(Zimmer, JT & Phelps)"	1951	Am. Mus. Novit. 1511: 1	http://hdl.handle.net/2246/3971		
11514	PSITTACIFORMES	Psittacidae	Eupsittula pertinax paraensis	(Sick)	1959	J. für Orn. 100: 413			
11515	PSITTACIFORMES	Psittacidae	Eupsittula cactorum	(Kuhl)	1820	Nova Acta Acad. Caes. Leop. Carol. 10: 82	https://biodiversitylibrary.org/page/37020500		
11516	PSITTACIFORMES	Psittacidae	Eupsittula cactorum cactorum	(Kuhl)	1820	Nova Acta Acad. Caes. Leop. Carol. 10: 82	https://biodiversitylibrary.org/page/37020500		
11517	PSITTACIFORMES	Psittacidae	Eupsittula cactorum caixana	(Spix)	1824	Av. Sp. Nov. Brasil. 1: 34 pl. 19 fig. 1	https://biodiversitylibrary.org/page/41277629		
11518	PSITTACIFORMES	Psittacidae	Conuropsis	Salvadori	1891				
11519	PSITTACIFORMES	Psittacidae	Conuropsis carolinensis  qq 	(Linnaeus)	1758	Syst. Nat. (ed. 10) 1: 97	https://biodiversitylibrary.org/page/727004		
11520	PSITTACIFORMES	Psittacidae	Conuropsis carolinensis carolinensis  qq 	(Linnaeus)	1758	Syst. Nat. (ed. 10) 1: 97	https://biodiversitylibrary.org/page/727004		
11521	PSITTACIFORMES	Psittacidae	Conuropsis carolinensis ludoviciana  qq 	"(Gmelin, JF)"	1788	Syst. Nat. (ed. 12) 1: 347	https://biodiversitylibrary.org/page/2896947		
11522	PSITTACIFORMES	Psittacidae	Aratinga	Spix	1824				
11523	PSITTACIFORMES	Psittacidae	Aratinga weddellii	(Deville)	1851	Rev. Mag. Zool. (Ser. 2) 3: 209	https://biodiversitylibrary.org/page/2321196		
11524	PSITTACIFORMES	Psittacidae	Aratinga nenday	(Vieillot)	1823	Tabl. Encyc. Meth. Orn. 3 livr. 93 p. 1400			
11525	PSITTACIFORMES	Psittacidae	Aratinga solstitialis	(Linnaeus)	1758	Syst. Nat. (ed. 10) 1: 97	https://biodiversitylibrary.org/page/727004		
11526	PSITTACIFORMES	Psittacidae	Aratinga maculata	"(Müller, PLS)"	1776	Natursyst. Suppl. 9: 74	https://biodiversitylibrary.org/page/52710027		
11527	PSITTACIFORMES	Psittacidae	Aratinga jandaya	"(Gmelin, JF)"	1788	Syst. Nat. (ed. 12) 1: 319	https://biodiversitylibrary.org/page/2896919		
11528	PSITTACIFORMES	Psittacidae	Aratinga auricapillus	(Kuhl)	1820	Nova Acta Acad. Caes. Leop. Carol. 10: 20	https://biodiversitylibrary.org/page/37020438		
11529	PSITTACIFORMES	Psittacidae	Aratinga auricapillus auricapillus	(Kuhl)	1820	Nova Acta Acad. Caes. Leop. Carol. 10: 20	https://biodiversitylibrary.org/page/37020438		
11530	PSITTACIFORMES	Psittacidae	Aratinga auricapillus aurifrons	Spix	1824	Av. Sp. Nov. Brasil. 1: 32 pl. 16 fig. 1	https://biodiversitylibrary.org/page/41277627		
11531	PSITTACIFORMES	Psittacidae	Cyanopsitta	Bonaparte	1854				
11532	PSITTACIFORMES	Psittacidae	Cyanopsitta spixii	(Wagler)	1832	Abh. K. Bay. Akad. Wiss. 1: 675	https://biodiversitylibrary.org/page/11355935		
11533	PSITTACIFORMES	Psittacidae	Orthopsittaca	Ridgway	1912				
11534	PSITTACIFORMES	Psittacidae	Orthopsittaca manilatus	(Boddaert)	1783	Table Planches Enlum. p. 52			
11535	PSITTACIFORMES	Psittacidae	Primolius	Bonaparte	1857				
11536	PSITTACIFORMES	Psittacidae	Primolius couloni	"(Sclater, PL)"	1876	"Proc. Zool. Soc. London (1876): 255, fig."	https://biodiversitylibrary.org/page/29099416		
11537	PSITTACIFORMES	Psittacidae	Primolius auricollis	(Cassin)	1853	Proc. Acad. Nat. Sci. Philadelphia 6: 372	https://biodiversitylibrary.org/page/1779908		
11538	PSITTACIFORMES	Psittacidae	Primolius maracana	(Vieillot)	1816	Nouv. Dict. d'Hist. Nat. 2: 260	https://biodiversitylibrary.org/page/21108102		
11539	PSITTACIFORMES	Psittacidae	Ara	Lacépède	1799				
11540	PSITTACIFORMES	Psittacidae	Ara ararauna	(Linnaeus)	1758	Syst. Nat. (ed. 10) 1: 96	https://biodiversitylibrary.org/page/727003		
11541	PSITTACIFORMES	Psittacidae	Ara glaucogularis	Dabbene	1921	Hornero 2: 225	https://biodiversitylibrary.org/page/34800365		
11542	PSITTACIFORMES	Psittacidae	Ara severus	(Linnaeus)	1758	Syst. Nat. (ed. 10) 1: 97	https://biodiversitylibrary.org/page/727004		
11543	PSITTACIFORMES	Psittacidae	Ara rubrogenys	Lafresnaye	1847	Rev. Zool. 10: 65	https://biodiversitylibrary.org/page/2271548		
11544	PSITTACIFORMES	Psittacidae	Ara tricolor  qq 	(Bechstein)	1811	Allg. Uebers. Vögel 4 1: 64 pl. 1	https://biodiversitylibrary.org/page/54265753		
11545	PSITTACIFORMES	Psittacidae	Ara militaris	(Linnaeus)	1766	Syst. Nat. (ed. 12) 1: 139	https://biodiversitylibrary.org/page/445264		
11546	PSITTACIFORMES	Psittacidae	Ara militaris militaris	(Linnaeus)	1766	Syst. Nat. (ed. 12) 1: 139	https://biodiversitylibrary.org/page/445264		
11547	PSITTACIFORMES	Psittacidae	Ara militaris bolivianus	Reichenow	1908	Orn. Monatsb. 16: 13	https://biodiversitylibrary.org/page/32660733		
11548	PSITTACIFORMES	Psittacidae	Ara militaris mexicanus	Ridgway	1915	Proc. Biol. Soc. Wash. 28: 106	https://biodiversitylibrary.org/page/3338489		
11549	PSITTACIFORMES	Psittacidae	Ara ambiguus	(Bechstein)	1811	Allg. Uebers. Vogel [Latham] 4 1: 65			
11550	PSITTACIFORMES	Psittacidae	Ara ambiguus ambiguus	(Bechstein)	1811	Allg. Uebers. Vogel [Latham] 4 1: 65			
11551	PSITTACIFORMES	Psittacidae	Ara ambiguus guayaquilensis	Chapman	1925	Am. Mus. Novit. no.205 p. 2	https://digitallibrary.amnh.org/bitstream/handle/2246/4108//v2/dspace/ingest/pdfSource/nov/N0205.pdf?sequence=1&isAllowed=y		
11552	PSITTACIFORMES	Psittacidae	Ara macao	(Linnaeus)	1758	Syst. Nat. (ed. 10) 1: 96	https://biodiversitylibrary.org/page/727003		
11553	PSITTACIFORMES	Psittacidae	Ara macao macao	(Linnaeus)	1758	Syst. Nat. (ed. 10) 1: 96	https://biodiversitylibrary.org/page/727003		
11554	PSITTACIFORMES	Psittacidae	Ara macao cyanopterus	Wiedenfeld	1995	Orn. Neotrop. 5: 99	https://sora.unm.edu/sites/default/files/journals/on/v005n02/p0099-p0104.pdf		
11555	PSITTACIFORMES	Psittacidae	Ara chloropterus	"Gray, GR"	1859	List Birds Brit. Mus. 3 (2): 26	https://biodiversitylibrary.org/page/19059987		
11556	PSITTACIFORMES	Psittacidae	Leptosittaca	Berlepsch & Stolzmann	1894				
11557	PSITTACIFORMES	Psittacidae	Leptosittaca branickii	Berlepsch & Stolzmann	1894	Ibis (Ser. 6) 6: 402 pl. 11	https://biodiversitylibrary.org/page/16283082		
11558	PSITTACIFORMES	Psittacidae	Ognorhynchus	Bonaparte	1857				
11559	PSITTACIFORMES	Psittacidae	Ognorhynchus icterotis	(Massena & Souancé)	1854	Rev. Mag. Zool. (Ser. 2) 6: 71	https://biodiversitylibrary.org/page/13681142		
11560	PSITTACIFORMES	Psittacidae	Guaruba	"Lesson, R"	1830				
11561	PSITTACIFORMES	Psittacidae	Guaruba guarouba	"(Gmelin, JF)"	1788	Syst. Nat. (ed. 12) 1: 320	https://biodiversitylibrary.org/page/2896920		
11562	PSITTACIFORMES	Psittacidae	Diopsittaca	Ridgway	1912				
11563	PSITTACIFORMES	Psittacidae	Diopsittaca nobilis	(Linnaeus)	1758	Syst. Nat. (ed. 10) 1: 97	https://biodiversitylibrary.org/page/727004		
11564	PSITTACIFORMES	Psittacidae	Diopsittaca nobilis nobilis	(Linnaeus)	1758	Syst. Nat. (ed. 10) 1: 97	https://biodiversitylibrary.org/page/727004		
11565	PSITTACIFORMES	Psittacidae	Diopsittaca nobilis cumanensis	"(Lichtenstein, MHK)"	1823	Verz. Doubl. Zool. Mus. Berlin: 6	https://biodiversitylibrary.org/page/28229312		
11566	PSITTACIFORMES	Psittacidae	Diopsittaca nobilis longipennis	Neumann	1931	Mitt. Zool. Mus. Berlin 17 Heft 3: 441			
11567	PSITTACIFORMES	Psittacidae	Thectocercus	Ridgway	1912	Nouv. Dict. d'Hist. Nat. 25: 369	https://biodiversitylibrary.org/page/18044137		
11568	PSITTACIFORMES	Psittacidae	Thectocercus acuticaudatus	(Vieillot)	1818	Av. Sp. Nov. Brasil. 1: 29 pl. 13	https://biodiversitylibrary.org/page/41277624		
11569	PSITTACIFORMES	Psittacidae	Thectocercus acuticaudatus acuticaudatus	(Vieillot)	1818	Av. Sp. Nov. Brasil. 1: 29 pl. 13	https://biodiversitylibrary.org/page/41277624		
11570	PSITTACIFORMES	Psittacidae	Thectocercus acuticaudatus haemorrhous	(Spix)	1824	Lexicon Parrots 3 (7) no. 221			
11571	PSITTACIFORMES	Psittacidae	Thectocercus acuticaudatus neoxenus	(Cory)	1909	Fieldiana Zool. 31: 166	https://biodiversitylibrary.org/page/2865225		
11572	PSITTACIFORMES	Psittacidae	Thectocercus acuticaudatus neumanni	(Blake & Traylor)	1947				
11573	PSITTACIFORMES	Psittacidae	Thectocercus acuticaudatus koenigi	(Arndt)	1995	Field Mus. Nat. Hist. Pub. Orn. Ser. 1: 243	https://biodiversitylibrary.org/page/2654169		
11574	PSITTACIFORMES	Psittacidae	Psittacara	Vigors	1825				
11575	PSITTACIFORMES	Psittacidae	Psittacara holochlorus	"(Sclater, PL)"	1859	Proc. Biol. Soc. Wash. 41: 154	https://biodiversitylibrary.org/page/34645589		
11576	PSITTACIFORMES	Psittacidae	Psittacara holochlorus holochlorus	"(Sclater, PL)"	1859	Natursyst. Suppl. 9: 75	https://biodiversitylibrary.org/page/52710028		
11577	PSITTACIFORMES	Psittacidae	Psittacara holochlorus brewsteri	(Nelson)	1928	Ann. Mag. Nat. Hist. (Ser. 3) 4: 224	https://biodiversitylibrary.org/page/18638139		
11578	PSITTACIFORMES	Psittacidae	Psittacara brevipes	(Lawrence)	1871	Ann. Lyc. Nat. Hist. N. Y. 10: 14	https://biodiversitylibrary.org/page/16077895		
11579	PSITTACIFORMES	Psittacidae	Psittacara rubritorquis	"(Sclater, PL)"	1887	Proc. Zool. Soc. London (1886): 539 pl. 56	https://biodiversitylibrary.org/page/30829831		
11580	PSITTACIFORMES	Psittacidae	Psittacara strenuus	(Ridgway)	1915				
11581	PSITTACIFORMES	Psittacidae	Psittacara wagleri	"(Gray, GR)"	1845	Gen. Birds 2: pl. CII	https://biodiversitylibrary.org/page/43661608		
