1	ORDER	FAMILY	TAXON	AUTHORITY	YEAR	REFERENCE	URL		
11158	PSITTACIFORMES	Cacatuidae	Cacatua galerita galerita	(Latham)	1790	Index Orn. 1: 109	https://biodiversitylibrary.org/page/53510480		
11159	PSITTACIFORMES	Cacatuidae	Cacatua galerita triton	Temminck	1849	"Coup-d'oeil Poss. Neerland. 3: 405, note"			
11160	PSITTACIFORMES	Cacatuidae	Cacatua galerita eleonora	Finsch	1863	Nederl. Tijdschr. Dierk. 1: XXI	https://biodiversitylibrary.org/page/12575582		
11161	PSITTACIFORMES	Cacatuidae	Cacatua galerita fitzroyi	(Mathews)	1912	Novit. Zool. 18: 264	https://biodiversitylibrary.org/page/3109926		
11162	PSITTACIFORMES	Cacatuidae	Cacatua ophthalmica	"Sclater, PL"	1864	Proc. Zool. Soc. London (1864): 188	https://biodiversitylibrary.org/page/28500485		
11163	PSITTACIFORMES	Cacatuidae	Cacatua sulphurea	"(Gmelin, JF)"	1788	Syst. Nat. (ed. 12) 1: 330	https://biodiversitylibrary.org/page/2896930		
11164	PSITTACIFORMES	Cacatuidae	Cacatua sulphurea sulphurea	"(Gmelin, JF)"	1788	Syst. Nat. (ed. 12) 1: 330	https://biodiversitylibrary.org/page/2896930		
11165	PSITTACIFORMES	Cacatuidae	Cacatua sulphurea citrinocristata	(Fraser)	1844	Proc. Zool. Soc. London pt 12: 38	https://biodiversitylibrary.org/page/12862332		
11166	PSITTACIFORMES	Cacatuidae	Cacatua sulphurea parvula	(Bonaparte)	1850	Compt. Rend. 30: 139	https://biodiversitylibrary.org/page/4618144		
11167	PSITTACIFORMES	Cacatuidae	Cacatua sulphurea abbotti	(Oberholser)	1917	Proc. U.S. Natl. Mus. 54: 181	https://biodiversitylibrary.org/page/15723888		
11168	PSITTACIFORMES	Cacatuidae	Cacatua moluccensis	"(Gmelin, JF)"	1788	Syst. Nat. (ed. 12) 1: 331	https://biodiversitylibrary.org/page/2896931		
11169	PSITTACIFORMES	Cacatuidae	Cacatua alba	"(Müller, PLS)"	1776	Natursyst. Suppl. 9: 76	https://biodiversitylibrary.org/page/52710029		
11170	PSITTACIFORMES	Psittacidae	Psittacus	Linnaeus	1758				
11171	PSITTACIFORMES	Psittacidae	Psittacus erithacus	Linnaeus	1758	Syst. Nat. (ed. 10) 1: 99	https://biodiversitylibrary.org/page/727006		
11172	PSITTACIFORMES	Psittacidae	Psittacus timneh	Fraser	1844	Proc. Zool. Soc. London pt 12: 38	https://biodiversitylibrary.org/page/12862332		
11173	PSITTACIFORMES	Psittacidae	Psittacus timneh timneh	Fraser	1844	Proc. Zool. Soc. London pt 12: 38	https://biodiversitylibrary.org/page/12862332		
11174	PSITTACIFORMES	Psittacidae	Psittacus timneh princeps	Alexander	1909	Bull. B.O.C. 23: 74	https://biodiversitylibrary.org/page/32427168		
11175	PSITTACIFORMES	Psittacidae	Poicephalus	Swainson	1837				
11176	PSITTACIFORMES	Psittacidae	Poicephalus gulielmi	(Jardine)	1849	Contrib. Orn. 2: 64-14 pl. 28	https://biodiversitylibrary.org/page/51703083		
11177	PSITTACIFORMES	Psittacidae	Poicephalus gulielmi gulielmi	(Jardine)	1849	Contrib. Orn. 2: 64-14 pl. 28	https://biodiversitylibrary.org/page/51703083		
11178	PSITTACIFORMES	Psittacidae	Poicephalus gulielmi massaicus	"Fischer, GA & Reichenow"	1884	J. für Orn. (Ser. 4) 32: 179	https://biodiversitylibrary.org/page/32700109		
11179	PSITTACIFORMES	Psittacidae	Poicephalus gulielmi fantiensis	Neumann	1908	Novit. Zool. 15: 381	https://biodiversitylibrary.org/page/2988027		
11180	PSITTACIFORMES	Psittacidae	Poicephalus flavifrons	(Rüppell)	1842	Mus. Senckenb. 3: 126	https://biodiversitylibrary.org/page/45886789		
11181	PSITTACIFORMES	Psittacidae	Poicephalus fuscicollis	(Kuhl)	1820	Nova Acta Acad. Caes. Leop. Carol. 10: 93	https://biodiversitylibrary.org/page/37020511		
11182	PSITTACIFORMES	Psittacidae	Poicephalus fuscicollis fuscicollis	(Kuhl)	1820	Nova Acta Acad. Caes. Leop. Carol. 10: 93	https://biodiversitylibrary.org/page/37020511		
11183	PSITTACIFORMES	Psittacidae	Poicephalus fuscicollis suahelicus	Reichenow	1898	J. für Orn. (Ser. 5) 46: 314	https://biodiversitylibrary.org/page/33428714		
11184	PSITTACIFORMES	Psittacidae	Poicephalus robustus	"(Gmelin, JF)"	1788	Syst. Nat. (ed. 12) 1: 344	https://biodiversitylibrary.org/page/2896944		
11185	PSITTACIFORMES	Psittacidae	Poicephalus meyeri	(Cretzschmar)	1827	Atlas Reis. nord. Afr. Vog.: 18 pl. 11	https://biodiversitylibrary.org/page/37140740		
11186	PSITTACIFORMES	Psittacidae	Poicephalus meyeri meyeri	(Cretzschmar)	1827	Atlas Reis. nord. Afr. Vog.: 18 pl. 11	https://biodiversitylibrary.org/page/37140740		
11187	PSITTACIFORMES	Psittacidae	Poicephalus meyeri matschiei	Neumann	1898	J. für Orn. (Ser. 5) 46: 501	https://biodiversitylibrary.org/page/33428901		
11188	PSITTACIFORMES	Psittacidae	Poicephalus meyeri reichenowi	Neumann	1898	J. für Orn. (Ser. 5) 46: 501	https://biodiversitylibrary.org/page/33428901		
11189	PSITTACIFORMES	Psittacidae	Poicephalus meyeri damarensis	Neumann	1898	J. für Orn. (Ser. 5) 46: 501	https://biodiversitylibrary.org/page/33428901		
11190	PSITTACIFORMES	Psittacidae	Poicephalus meyeri transvaalensis	Neumann	1899	Orn. Monatsb. 7: 25	https://biodiversitylibrary.org/page/32584442		
11191	PSITTACIFORMES	Psittacidae	Poicephalus meyeri saturatus	Sharpe	1901	Bull. B.O.C. 11: 67	https://biodiversitylibrary.org/page/37116537		
11192	PSITTACIFORMES	Psittacidae	Poicephalus rueppellii	"(Gray, GR)"	1849	Proc. Zool. Soc. London pt 16: 125 pl. 5	https://biodiversitylibrary.org/page/12861991		
