1	ORDER	FAMILY	TAXON	AUTHORITY	YEAR	REFERENCE	URL
9516	PICIFORMES	Bucconidae	Bucco capensis	Linnaeus	1766	Syst. Nat. (ed. 12) 1: 168	https://biodiversitylibrary.org/page/42946364
9517	PICIFORMES	Bucconidae	Nystalus	Cabanis & Heine	1863		
9518	PICIFORMES	Bucconidae	Nystalus radiatus	"(Sclater, PL)"	1854	Proc. Zool. Soc. London pt 21: 122 pl. 50	https://biodiversitylibrary.org/page/30747253
9519	PICIFORMES	Bucconidae	Nystalus chacuru	(Vieillot)	1816	Nouv. Dict. d'Hist. Nat. 3: 239	https://biodiversitylibrary.org/page/21109375
9520	PICIFORMES	Bucconidae	Nystalus chacuru chacuru	(Vieillot)	1816	Nouv. Dict. d'Hist. Nat. 3: 239	https://biodiversitylibrary.org/page/21109375
9521	PICIFORMES	Bucconidae	Nystalus striolatus	(Pelzeln)	1856	Sitz. K. Akad. Wiss. Wien 20: 500	https://biodiversitylibrary.org/page/34992448
9522	PICIFORMES	Bucconidae	Nystalus striolatus striolatus	(Pelzeln)	1856	Sitz. K. Akad. Wiss. Wien 20: 500	https://biodiversitylibrary.org/page/34992448
9523	PICIFORMES	Bucconidae	Nystalus chacuru uncirostris	(Stolzmann)	1926	Ann. Zool. Polon. Hist. Nat. 5: 214	
9524	PICIFORMES	Bucconidae	Nystalus striolatus torridus	"Bond, J & Meyer de Schauensee"	1940	Notulae Naturae 50: 1	
9525	PICIFORMES	Bucconidae	Nystalus obamai	"Whitney, Piacentini, Schunck, Aleixo, de Sousa, BRS, Silveira & Rêgo, MA"	2013	Handb. Birds of the world Special Volume p. 240	
9526	PICIFORMES	Bucconidae	Nystalus maculatus	"(Gmelin, JF)"	1788	Syst. Nat. (ed. 12) 1: 451	https://biodiversitylibrary.org/page/2897051
9527	PICIFORMES	Bucconidae	Nystalus striatipectus	"(Sclater, PL)"	1854	Ann. Mag. Nat. Hist. (Ser. 2) 13: 364	https://biodiversitylibrary.org/page/22193696
9528	PICIFORMES	Bucconidae	Hypnelus	Cabanis & Heine	1863		
9529	PICIFORMES	Bucconidae	Hypnelus ruficollis	(Wagler)	1829	Isis 22 col. 658	https://biodiversitylibrary.org/page/27011895
9530	PICIFORMES	Bucconidae	Hypnelus ruficollis ruficollis	(Wagler)	1829	Isis 22 col. 658	https://biodiversitylibrary.org/page/27011895
9531	PICIFORMES	Bucconidae	Hypnelus ruficollis coloratus	Ridgway	1914	Bull. U.S. Natl. Mus. no. 50 pt 6: 382	https://biodiversitylibrary.org/page/7754746
9532	PICIFORMES	Bucconidae	Hypnelus ruficollis decolor	Todd & Carriker	1922	Ann. Carnegie Mus. Nat. Hist. 14: 228	https://biodiversitylibrary.org/page/9968301
9533	PICIFORMES	Bucconidae	Hypnelus ruficollis striaticollis	Phelps & Phelps Jr	1958	Proc. Biol. Soc. Wash. 71: 121	https://biodiversitylibrary.org/page/34647850
9534	PICIFORMES	Bucconidae	Hypnelus bicinctus	(Gould)	1837	Proc. Zool. Soc. London pt 4: 80	https://biodiversitylibrary.org/page/30570807
9535	PICIFORMES	Bucconidae	Hypnelus bicinctus bicinctus	(Gould)	1837	Proc. Zool. Soc. London pt 4: 80	https://biodiversitylibrary.org/page/30570807
9536	PICIFORMES	Bucconidae	Hypnelus bicinctus stoicus	Wetmore	1939	Smiths. Misc. Coll. 98 (4): 1	https://biodiversitylibrary.org/page/8823987
9537	PICIFORMES	Bucconidae	Malacoptila	"Gray, GR"	1841		
9538	PICIFORMES	Bucconidae	Malacoptila striata	(Spix)	1824	Av. Sp. Nov. Brasil. 1: 52 pl. 40 fig. 2	https://biodiversitylibrary.org/page/41277687
9539	PICIFORMES	Bucconidae	Malacoptila striata striata	(Spix)	1824	Av. Sp. Nov. Brasil. 1: 52 pl. 40 fig. 2	https://biodiversitylibrary.org/page/41277687
9540	PICIFORMES	Bucconidae	Malacoptila striata minor	Sassi	1911	J. für Orn. 59: 181	https://biodiversitylibrary.org/page/11856303
9541	PICIFORMES	Bucconidae	Malacoptila fusca	"(Gmelin, JF)"	1788	Syst. Nat. (ed. 12) 1: 408	https://biodiversitylibrary.org/page/2897008
9542	PICIFORMES	Bucconidae	Malacoptila semicincta	Todd	1925	Proc. Biol. Soc. Wash. 38: 111	https://biodiversitylibrary.org/page/34557677
9543	PICIFORMES	Bucconidae	Malacoptila fulvogularis	"Sclater, PL"	1854	Proc. Zool. Soc. London pt 21: 123	https://biodiversitylibrary.org/page/30747258
