1	ORDER	FAMILY	TAXON	AUTHORITY	TYPE SPECIES	YEAR	REFERENCE	URL
57	TINAMIFORMES	Tinamidae	Tinamus major zuliensis	Osgood & Conover		1922	Field Mus. Nat. Hist. Pub. Zool. Ser. 12: 24	https://biodiversitylibrary.org/page/4465699
58	TINAMIFORMES	Tinamidae	Tinamus major latifrons	Salvadori		1895	"Cat. Birds Brit. Mus. 27: 497, 506"	https://biodiversitylibrary.org/page/8394102
59	TINAMIFORMES	Tinamidae	Tinamus major major	"(Gmelin, JF)"		1789	Syst. Nat. (ed. 12) 1: 767	https://biodiversitylibrary.org/page/2656262
60	TINAMIFORMES	Tinamidae	Tinamus major serratus	(Spix)		1825	Av. Sp. Nov. Brasil. 2: 61 pl. 76	https://biodiversitylibrary.org/page/41278016
61	TINAMIFORMES	Tinamidae	Tinamus major olivascens	Conover		1937	Proc. Biol. Soc. Wash. 50: 191	https://biodiversitylibrary.org/page/34510452
62	TINAMIFORMES	Tinamidae	Tinamus major peruvianus	Bonaparte		1856	Compt. Rend. 43: 573	https://biodiversitylibrary.org/page/1211109
63	TINAMIFORMES	Tinamidae	Tinamus guttatus	Pelzeln		1863	"Verh. k. k. Zool.-Bot. Ges. Wien 13: 1126, 1128"	https://biodiversitylibrary.org/page/26722821
64	TINAMIFORMES	Tinamidae	Nothocercus	Bonaparte	1.000	1856		
65	TINAMIFORMES	Tinamidae	Nothocercus bonapartei	"(Gray, GR)"		1867	List Birds Brit. Mus. 5: 97	https://biodiversitylibrary.org/page/19060620
66	TINAMIFORMES	Tinamidae	Nothocercus bonapartei frantzii	(Lawrence)		1868	Ann. Lyc. Nat. Hist. N. Y. 9: 140	https://biodiversitylibrary.org/page/3370616
67	TINAMIFORMES	Tinamidae	Nothocercus bonapartei bonapartei	"(Gray, GR)"		1867	List Birds Brit. Mus. 5: 97	https://biodiversitylibrary.org/page/19060620
68	TINAMIFORMES	Tinamidae	Nothocercus bonapartei intercedens	Salvadori		1895	"Cat. Birds Brit. Mus. 27: 509, 513"	https://biodiversitylibrary.org/page/8394114
69	TINAMIFORMES	Tinamidae	Nothocercus bonapartei discrepans	Friedmann		1947	Caldasia 4: 472	https://revistas.unal.edu.co/index.php/cal/article/view/32787/32781
70	TINAMIFORMES	Tinamidae	Nothocercus bonapartei plumbeiceps	Lönnberg & Rendahl		1922	Ark. Zool. 14 (25): 13	https://biodiversitylibrary.org/page/6413808
71	TINAMIFORMES	Tinamidae	Nothocercus julius	(Bonaparte)		1854	Compt. Rend. 38: 663	https://biodiversitylibrary.org/page/1216339
72	TINAMIFORMES	Tinamidae	Nothocercus nigrocapillus	"(Gray, GR)"		1867	List Birds Brit. Mus. 5: 98	https://biodiversitylibrary.org/page/19060621
73	TINAMIFORMES	Tinamidae	Nothocercus nigrocapillus cadwaladeri	Carriker		1933	Proc. Acad. Nat. Sci. Philadelphia 85: 2	
74	TINAMIFORMES	Tinamidae	Nothocercus nigrocapillus nigrocapillus	"(Gray, GR)"		1867	List Birds Brit. Mus. 5: 98	https://biodiversitylibrary.org/page/19060621
75	TINAMIFORMES	Tinamidae	Crypturellus	"Brabourne & Chubb, C"	1.000	1914		
76	TINAMIFORMES	Tinamidae	Crypturellus berlepschi	(Rothschild)		1897	Bull. B.O.C. 7: 5	https://biodiversitylibrary.org/page/32475559
77	TINAMIFORMES	Tinamidae	Crypturellus cinereus	"(Gmelin, JF)"		1789	Syst. Nat. (ed. 12) 1: 768	https://biodiversitylibrary.org/page/2656263
78	TINAMIFORMES	Tinamidae	Crypturellus soui	(Hermann)		1783	Tabula Affin. Anim.: 165	https://biodiversitylibrary.org/page/39000836
79	TINAMIFORMES	Tinamidae	Crypturellus soui meserythrus	"(Sclater, PL)"		1860	"Proc. Zool. Soc. London, pt 27: 392"	https://biodiversitylibrary.org/page/32274806
80	TINAMIFORMES	Tinamidae	Crypturellus soui modestus	(Cabanis)		1869	J. für Orn. (Ser. 2)  17: 212	https://biodiversitylibrary.org/page/32901964
81	TINAMIFORMES	Tinamidae	Crypturellus soui capnodes	Wetmore		1963	Proc. Biol. Soc. Wash. 76: 173	https://biodiversitylibrary.org/page/34605062
82	TINAMIFORMES	Tinamidae	Crypturellus soui poliocephalus	(Aldrich)		1937	Sci. Pub. Cleveland Mus. Nat. Hist. 7: 30	https://biodiversitylibrary.org/page/39693452
83	TINAMIFORMES	Tinamidae	Crypturellus soui panamensis	(Carriker)		1910	Ann. Carnegie Mus. Nat. Hist. 6: 379	https://biodiversitylibrary.org/page/39791757
84	TINAMIFORMES	Tinamidae	Crypturellus soui mustelinus	(Bangs)		1905	Proc. Biol. Soc. Wash. 18: 151	https://biodiversitylibrary.org/page/2265619
85	TINAMIFORMES	Tinamidae	Crypturellus soui soui	(Hermann)		1783	Tabula Affin. Anim.: 165	https://biodiversitylibrary.org/page/39000836
86	TINAMIFORMES	Tinamidae	Crypturellus soui andrei	"(Brabourne & Chubb, C)"		1914	"Ann. Mag. Nat. Hist. (Ser. 8) 14: 319, 321"	https://biodiversitylibrary.org/page/18616554
