1	ORDER	FAMILY	TAXON	AUTHORITY	YEAR	REFERENCE	URL										
7815	STRIGIFORMES	Tytonidae	Tyto furcata tuidara	"(Gray, JE)"	1828	Anim. Kingd. 6: 75	https://biodiversitylibrary.org/page/33111788										
7816	STRIGIFORMES	Tytonidae	Tyto furcata punctatissima	"(Gould & Gray, GR)"	1838	Zool. Voy. Beagle pt 3: 34 pl. 4	https://biodiversitylibrary.org/page/40300041										
7817	STRIGIFORMES	Tytonidae	Tyto javanica	"(Gmelin, JF)"	1788	Syst. Nat. (ed. 12) 1: 295	https://biodiversitylibrary.org/page/2896895										
7818	STRIGIFORMES	Tytonidae	Tyto javanica stertens	"Hartert, E"	1929	Novit. Zool. 35: 98	https://biodiversitylibrary.org/page/3250207										
7819	STRIGIFORMES	Tytonidae	Tyto javanica javanica	"(Gmelin, JF)"	1788	Syst. Nat. (ed. 12) 1: 295	https://biodiversitylibrary.org/page/2896895										
7820	STRIGIFORMES	Tytonidae	Tyto javanica sumbaensis	"(Hartert, E)"	1897	Novit. Zool. 4: 270	https://biodiversitylibrary.org/page/3219042										
7821	STRIGIFORMES	Tytonidae	Tyto javanica meeki	"(Rothschild & Hartert, E)"	1907	Novit. Zool. 14: 448	https://biodiversitylibrary.org/page/2989624										
7822	STRIGIFORMES	Tytonidae	Tyto javanica delicatula	(Gould)	1837	Proc. Zool. Soc. London pt 4: 140	https://biodiversitylibrary.org/page/30570867										
7823	STRIGIFORMES	Tytonidae	Tyto javanica crassirostris	Mayr	1935	Am. Mus. Novit. 820: 3	http://hdl.handle.net/2246/4041										
7824	STRIGIFORMES	Tytonidae	Tyto javanica interposita	Mayr	1935	Am. Mus. Novit. 820: 3	http://hdl.handle.net/2246/4041										
7825	STRIGIFORMES	Tytonidae	Tyto deroepstorffi	(Hume)	1875	Stray Feathers 3: 390	https://biodiversitylibrary.org/page/30108038										
7826	STRIGIFORMES	Tytonidae	Tyto glaucops	(Kaup)	1852	Contrib. Orn. 5: 118	https://biodiversitylibrary.org/page/51468249										
7827	STRIGIFORMES	Tytonidae	Tyto capensis	"(Smith, A)"	1834	S. Afr. Q. J. (Ser. 2) no. 4: 317	https://biodiversitylibrary.org/page/15968435										
7828	STRIGIFORMES	Tytonidae	Tyto longimembris	(Jerdon)	1839	Madras J. Lit. Sci. 10: 86	https://biodiversitylibrary.org/page/46487732										
7829	STRIGIFORMES	Tytonidae	Tyto longimembris longimembris	(Jerdon)	1839	Madras J. Lit. Sci. 10: 86	https://biodiversitylibrary.org/page/46487732										
7830	STRIGIFORMES	Tytonidae	Tyto longimembris chinensis	"Hartert, E"	1929	Novit. Zool. 35: 104	https://biodiversitylibrary.org/page/3250209										
7831	STRIGIFORMES	Tytonidae	Tyto longimembris pithecops	(Swinhoe)	1866	Ibis (Ser. 2) 2: 396	https://biodiversitylibrary.org/page/56941177										
7832	STRIGIFORMES	Tytonidae	Tyto longimembris amauronota	(Cabanis)	1872	J. für Orn. (Ser. 3)   20: 316	https://biodiversitylibrary.org/page/32907323										
7833	STRIGIFORMES	Tytonidae	Tyto longimembris papuensis	"Hartert, E"	1929	Novit. Zool. 35: 103	https://biodiversitylibrary.org/page/3250028										
7834	STRIGIFORMES	Tytonidae	Phodilus	"Geoffroy Saint-Hilaire, I"	1830												
7835	STRIGIFORMES	Tytonidae	Phodilus prigoginei	Schouteden	1952	Rev. Zool. Bot. Afr. 46: 424											
7836	STRIGIFORMES	Tytonidae	Phodilus badius	(Horsfield)	1821	Trans. Linn. Soc. London (Ser. 1) 13: 139	https://biodiversitylibrary.org/page/754872										
7837	STRIGIFORMES	Tytonidae	Phodilus badius saturatus	Robinson	1927	Bull. B.O.C. 47: 121	https://biodiversitylibrary.org/page/40499134										
7838	STRIGIFORMES	Tytonidae	Phodilus badius badius	(Horsfield)	1821	Trans. Linn. Soc. London (Ser. 1) 13: 139	https://biodiversitylibrary.org/page/754872										
7839	STRIGIFORMES	Tytonidae	Phodilus badius parvus	Chasen	1937	Treubia 16 Afl. 2: 216											
7840	STRIGIFORMES	Tytonidae	Phodilus badius arixuthus	Oberholser	1932	Bull. U.S. Natl. Mus. no. 159: 40	https://biodiversitylibrary.org/page/7894746										
7841	STRIGIFORMES	Tytonidae	Phodilus assimilis	Hume	1877	Stray Feathers 5: 138	https://biodiversitylibrary.org/page/30121316										
7842	STRIGIFORMES	Tytonidae	Phodilus assimilis ripleyi	Hussain & Reza Khan	1978	J. Bombay Nat. Hist. Soc. 74: 335	https://biodiversitylibrary.org/page/48239106										
7843	STRIGIFORMES	Tytonidae	Phodilus assimilis assimilis	Hume	1877	Stray Feathers 5: 138	https://biodiversitylibrary.org/page/30121316										
7844	STRIGIFORMES	Strigidae	Uroglaux	Mayr	1937												
7845	STRIGIFORMES	Strigidae	Uroglaux dimorpha	(Salvadori)	1874	Ann. Mus. Civ. Stor. Nat. Genova 6: 308	https://biodiversitylibrary.org/page/10813222										
7846	STRIGIFORMES	Strigidae	Ninox	Hodgson	1837												
7847	STRIGIFORMES	Strigidae	Ninox albifacies †	"(Gray, GR)"	1844	Voy. Erebus and Terror 1 Birds: 2 pl. 1	https://biodiversitylibrary.org/page/6957489										
7848	STRIGIFORMES	Strigidae	Ninox albifacies albifacies †	"(Gray, GR)"	1844	Voy. Erebus and Terror 1 Birds: 2 pl. 1	https://biodiversitylibrary.org/page/6957489										
7849	STRIGIFORMES	Strigidae	Ninox albifacies rufifacies †	(Buller)	1904	Ibis (Ser. 8) 4: 639	https://biodiversitylibrary.org/page/25210992										
7850	STRIGIFORMES	Strigidae	Ninox rufa	(Gould)	1846	Proc. Zool. Soc. London pt 14: 19	https://biodiversitylibrary.org/page/12862668										
7851	STRIGIFORMES	Strigidae	Ninox rufa humeralis	(Bonaparte)	1850	Consp. Gen. Av. 1: 40	https://biodiversitylibrary.org/page/43560065										
7852	STRIGIFORMES	Strigidae	Ninox rufa rufa	(Gould)	1846	Proc. Zool. Soc. London pt 14: 18	https://biodiversitylibrary.org/page/12862668										
7853	STRIGIFORMES	Strigidae	Ninox rufa meesi	"Mason, IJ & Schodde"	1980	Emu 80: 142											
7854	STRIGIFORMES	Strigidae	Ninox rufa queenslandica	Mathews	1911	Bull. B.O.C. 27: 62	https://biodiversitylibrary.org/page/32553898										
7855	STRIGIFORMES	Strigidae	Ninox strenua	(Gould)	1838	"Syn. Birds Austr. pt 3 pl. 49 fig. 2, text"	https://biodiversitylibrary.org/page/47441672										
7856	STRIGIFORMES	Strigidae	Ninox connivens	(Latham)	1801	Suppl. ind. orn.: xii	https://biodiversitylibrary.org/page/33261386										
7857	STRIGIFORMES	Strigidae	Ninox connivens rufostrigata	"(Gray, GR)"	1861	Proc. Zool. Soc. London (1861): 344	https://biodiversitylibrary.org/page/12866912										
7858	STRIGIFORMES	Strigidae	Ninox connivens assimilis	Salvadori & D'Albertis	1875	Ann. Mus. Civ. Stor. Nat. Genova 7: 809	https://biodiversitylibrary.org/page/34621258										
7859	STRIGIFORMES	Strigidae	Ninox connivens peninsularis	Salvadori	1876	Ann. Mus. Civ. Stor. Nat. Genova 7: 992	https://biodiversitylibrary.org/page/34621441										
7860	STRIGIFORMES	Strigidae	Ninox connivens connivens	(Latham)	1801	Suppl. ind. orn.: xii	https://biodiversitylibrary.org/page/33261386										
7861	STRIGIFORMES	Strigidae	Ninox rudolfi	"Meyer, AB"	1882	Ibis (Ser. 4) 6: 232 pl. 6	https://biodiversitylibrary.org/page/8609978										
7862	STRIGIFORMES	Strigidae	Ninox boobook	(Latham)	1801	Suppl. ind. orn.: xv	https://biodiversitylibrary.org/page/33261389										
7863	STRIGIFORMES	Strigidae	Ninox boobook moae	Mayr	1943	Emu 43: 13											
7864	STRIGIFORMES	Strigidae	Ninox boobook cinnamomina	"Hartert, E"	1906	Novit. Zool. 13: 293	https://biodiversitylibrary.org/page/2971826										
7865	STRIGIFORMES	Strigidae	Ninox boobook remigialis	Stresemann	1930	Bull. B.O.C. 50: 61	https://biodiversitylibrary.org/page/40498410										
7866	STRIGIFORMES	Strigidae	Ninox boobook pusilla	Mayr & Rand	1935	Am. Mus. Novit. 814: 3	http://hdl.handle.net/2246/4098										
7867	STRIGIFORMES	Strigidae	Ninox boobook ocellata	(Bonaparte)	1850	Consp. Gen. Av. 1: 42	https://biodiversitylibrary.org/page/43560067										
7868	STRIGIFORMES	Strigidae	Ninox boobook halmaturina	Mathews	1912	Novit. Zool. 18: 254	https://biodiversitylibrary.org/page/3109922										
7869	STRIGIFORMES	Strigidae	Ninox boobook lurida	De Vis	1887	Proc. Linn. Soc. NSW 11: 1135	https://biodiversitylibrary.org/page/6589389										
7870	STRIGIFORMES	Strigidae	Ninox boobook boobook	(Latham)	1801	Suppl. ind. orn.: xv	https://biodiversitylibrary.org/page/33261389										
7871	STRIGIFORMES	Strigidae	Ninox rotiensis	"Johnstone, RE & Darnell"	1997	W.A. Nat. 21: 169											
7872	STRIGIFORMES	Strigidae	Ninox fusca	(Vieillot)	1817	Nouv. Dict. d'Hist. Nat. 7: 22	https://biodiversitylibrary.org/page/18035769										
7873	STRIGIFORMES	Strigidae	Ninox plesseni	Stresemann	1929	Orn. Monatsb. 37: 47											
7874	STRIGIFORMES	Strigidae	Ninox novaeseelandiae	"(Gmelin, JF)"	1788	Syst. Nat. (ed. 12) 1: 296	https://biodiversitylibrary.org/page/2896896										
7875	STRIGIFORMES	Strigidae	Ninox novaeseelandiae leucopsis	(Gould)	1838	Proc. Zool. Soc. London pt 5: 99	https://biodiversitylibrary.org/page/30570984										
