Authors (initials)
Ottosson, U
Ouellet, H
Oustalet, E
Owen, R
Oyler-McCance, SJ
Pacheco, JF
Päckert, M
Paguntalan, LM
Pakenham, RHW
Palacios, CJ
Pallas, PS
Palma, RL
Palmén, JA
Palmer, TS
Palmer, W
Paludan, K
Panza, RK
Parchman, TL
Parker, RH
Parker, SA
Parker, TA
Parkes, KC
Parrot, CPA
Parsons, FE
Parzudaki, C
Pasquet, E
Pateff, P
Paterson, M
Patten, MA
Paykull, G
Payne, RB
Paynter, RA
Payraudeau, C
Peale, TR
Pearman, M
Pearson, DJ
Pearson, JT
Peck, ME
Pecotich, L
Peltzam, ED
Pelzeln, A
Peña-G, L
Penard, AP
Penard, FP
Penard, TE
Penhallurick, J
Pennant, T
Penny, MJ
Pérez-Emán, JL
Perkins, RCL
Perry, G
Peters, DS
Peters, JL
Peters, WKH
Peterson, AT
Phalan, B
Phelps, WH Jr
Philippi Bañados, RA
Phillips, AR
Phillips, JC
Phillips, WWA
Phipps, CJ
Piacentini, V
Pichorim, M
Piersma, T
Piller, M
Pinchon, R
Pinto
Pipa, T
Pitelka, FA
Pleske, TE
Plowes, DCH
Poche, F
Poeppig, EF
Poliakov, GJ
Pollen, F
Pons, AR
Pontoppidan, E
Poole, CM
Portenko, L
Porter, RF
Portes, CEB
Potapov, RL
Potts, TH
Poulsen, MK
Powell, AFLA
Pratt, HD
Pratt, TK
Prawiradilaga, DM
Pražák, JP
Preleuthner, M
Prestridge, HL
Prévost, F
Price, WW
Prigogine, AR
Priolo, A
Prum, RO
Prŷs-Jones, RP
Przewalski, NM
Ptuschenko, ES
Pucheran, J
Purdie, AC
Putra, DD
Pyle, P
Yanhua Qu
Quevedo, A
Quickelberge, CD
Quinn, TW
Quoy, JRC
Rabor, DS
Rackett, T
Radde, G
Raffles, TS
Rafinesque, CS
Ragai, R
Raherilalao, MJ
Rahman, MA 
Ramakrishnan, U
Ramos, MA
Ramsay, EP
Rand, AL
Rando, JC 
Ranzani, C
Rapine, J
Raposo, MA
Raposo do Amaral, F
Rappole, JH
Rasmussen, PC
Rathbun, SF
Ray, MS
Rea, AM
Reddy, S
Red'kin, YA
Reeve, AH
Regalado Ruiz, P
Rêgo, MA
Rêgo, PS
Reich, GC
Reichenbach, L
Reichenberger, EMB
Reichenow, A
Reid, RJ
Reinert, BL
Reinhardt, JT
Reischek, A
Reiser, O
Remsen, JV
Rendahl, H
Renjifo, LM
Renner, SC
Rensch, B
Repenning, M
Restall, R
Restrepo, DU
Reuben, R
Reveal, JL
Reza Khan, MA
Rheindt, FE
Rhoads, SN
Ribas, CC
Ribes, S
Ribon, R
Rice, NH
Richard, L-C
Richardson, J
Richmond, CW
Rickett, CB
Ridgely, RS
Ridgway, R
Riesing, M
Riley, JH
Ripley, SD
Rippon, G
Robbins, MB
Roberts, A
Robertson, CJR
Robertson, HA
Robi, NJ
Robin, VV
Robinson, HC
Robinson-Dean, JC
Robson, CR
Roche, J
Rodrigues, M
Rodriguez, A
Rodríguez, B
Rodriguez-Exposito, E
Rodríguez-M, JV
Romero-Zambrano, H
Rook, W
Roscales, JL
Roselaar, CS
Rosenberg, GH
Rosenberg, HKB
Rosenberg, KV
Ross, CA
Ross, JA
Rothschild, LW
Round, PD
Roux, F
Roux, J-P
Rowan, W
Rowe, D
Rowley, I
Rowley, JS
Roy, MS
Royle, JF
Rozendaal, FG
Rudebeck, G
Ruiying Zhang
Rumboll, MAE
Rüppell, WPES
Ruschi, A
Russell, SM
Ryan, PG
Sabine, J
Sachtleben, H
Safford, RJ
Sagar, PM
Saha, SS
Salaman, PGW
Sallaberry, M
Salomonsen, F
Salvadori, AT
Salvin, O
Sampaio, I
Sanchez, JE
Sanchez Oses, C
Sánchez-González, LA
Sandbach, HR
Sangster, G
Santisteban, L
Santos, MA
Santos, FR
Sarasin, F
Sardelli, CH
Sassi, M
Saucier, JR
Sauer-Gürth, H
Saunders, DA
Saunders, GB
Saunders, H
Savi, P
Savigny, M-J-CL
Say, T
Schalow, H
Schembri, A
Schiebel, G
Schifter, H
Schilling, W
Schinz, HR
Schiøler, EL
Schleep, BC
Schlegel, H
Schluter, W
Schmidt, BK
Schmitt, F
Schneider, MPC
Schneider, H
Schnitnikov, VN
Schodde, R
Schomburgk, RH
Schou, H
Schouteden, H
Schrenck, L
Schuchmann, K-L
Schulenberg, TS
Schulz, F
Schunck, F
Schütt, O
Schwab, EM
Schweizer, M
Sclater, PL
Sclater, WL
Scopoli, GA
Scott, PM
Scott, WED
Scully, J
Seebohm, H
Seeholzer, GF
Seilern, JG
Selander, RK
Selby, PJ
Sennett, GB
Seoane, VL
Serebrovski, PV
Serle, W
Servat, GP
Serventy, DL
Setha, T
Seth-Smith, D
Sevastianov
Severtsov, 
Sganzin, V
Shäfer, E
Shakya, SB
Sharpe, RB
Shaw, G
Sheldon, FH
Shelley, GE
Shestoperov, EL
Shimiao Shao
Shipton, S
Shirihai, H
Short, LL
Shulpin, LM
Nay Myo Shwe
Sibley, CG
Sick, H
Siebers, HC
Siebold, H
Silva, C
Silva, W
Silveira, JF
Simmons, KELR
Simon, E
Sims, RW
Singh, P
Sjöstedt, BY
Slager, DL
Slater, PJB
Smallbones, G
Smith A
Smith, AL
Smith, BL
Smith, BT
Smith, DA
Smith, JW
Smithers, RHN
Smyth, JA
Snelleman, JF
Snethlage, EH
Snethlage, HMMEE
Snigirewski, SI
Snodgrass, RE
Snow, DW
Snyder, LL
Som, GC
Somadikarta, S
Sornoza-Molina, F
Souancé, C
Souleyet, LF-A
Sparrman, A
Spence, MJ
Spencer, AJ
Spencer, B
Spix, JB de
Sprunt, A Jr
Stager, KE
Stahl, J-C
Stanley, ES
Staunton, G
Stead, EF
Steadman, DW
Steere, JB
Stegmann, BK
Steinbacher, F
Steinheimer, FD
Stejneger, LH
Stejskal, DJ
Stenhouse, JH
Stepanyan, LS
Stephens, JF
Stervander, MW
Steullet, AB
Stevenson, HM
Stevenson, JO
Stewart, RE
Stiles
Stoliczka, F
Stolzmann, JS
Stone, W
Stonor, CR
Storer, RW
Storr, GKC
Stotz, DF
Strand, E
Straneck, RJ
Streets, TH
Stresemann, EFT
Streubel, AV
Strickland, HE
Stuart, BL
Stuart, SN
Sturm, JHCF
Sturm, JW
Styan, FW
Suárez, W
Such, G
Suckley, G
Suckow, GA
Yue-Hua Sun
Sunarto
Sundevall, CJ
Sung, S
Suparno
Sushkin, PP
Sutter, E
Sutton, GM
Svendsen, TO
Svensson, L
Swainson, WJ
Swales, BH
Swann, HK
Swarth, HS
Sweet, PR
Swinhoe, R
Swynnerton, CFM
Sykes, WH
Taczanowski, L
Taka-Tsukasa, N
Tallman, DA
Tan, Y
Tancré, CA
Tang, R
Tarnovski, GV
Tarragon, LM
Taverner, PA
Taylor, GAS
Taylor, W
Teixeira, DM
Telfer, MG
Tello, JG
Temminck, CJ
Tennyson, AJD
Terborgh, JW
Tessler, J
Thayer, JE
Thein Aung
Théry, M
Thesiger, W
Thibault, J-C
Thienemann, FAL
Thompson, MC
Thomson, TRH
Thonglongya, K
Thunberg, CP
Tianlong Cai
Ticehurst, CB
Tickell, SR
Tietze, DT
