Taxon ORDER Family TBrLenx1000
_Piranga_rubriceps PASSERIFORMES oscines_Cardinalidae 0.0028379
_Piranga_bidentata PASSERIFORMES oscines_Cardinalidae 0.0020128
_Piranga_ludoviciana PASSERIFORMES oscines_Cardinalidae 0.0020128
_Piranga_olivacea PASSERIFORMES oscines_Cardinalidae 0.002403
_Piranga_flava PASSERIFORMES oscines_Cardinalidae 2.68709
_Piranga_lutea EAST PASSERIFORMES_oscines_Cardinalidae 1.09191
_Piranga_hepatica PASSERIFORMES oscines_Cardinalidae 0.0025618
_Piranga_lutea WEST PASSERIFORMES_oscines_Cardinalidae 0.0027671
_Piranga_rubra PASSERIFORMES oscines_Cardinalidae 1.61577
_Piranga_roseogularis PASSERIFORMES oscines_Cardinalidae 0.002182
_Cardinalis_cardinalis PASSERIFORMES oscines_Cardinalidae 0.0020202
_Icterus_gularis PASSERIFORMES oscines_Icteridae 0.0020128
_Geothlypis_trichas PASSERIFORMES oscines_Parulidae 0.0020128
_Ammodramus_savannarum PASSERIFORMES oscines_Emberizidae 1.36845
_Peucaea_ruficauda PASSERIFORMES oscines_Emberizidae 0.0022499
_Arremonops_rufivirgatus PASSERIFORMES oscines_Emberizidae 2.73836
_Rhynchospiza_strigiceps PASSERIFORMES oscines_Emberizidae 0.0020168
_Ammodramus_leconteii PASSERIFORMES oscines_Emberizidae 1.3387
_Melospiza_melodia PASSERIFORMES oscines_Emberizidae 0.0020128
_Passerculus_sandwichensis PASSERIFORMES oscines_Emberizidae 0.0020128
_Pooecetes_gramineus PASSERIFORMES oscines_Emberizidae 3.44435
_Artemisiospiza_belli PASSERIFORMES oscines_Emberizidae 0.67081
_Oriturus_superciliosus PASSERIFORMES oscines_Emberizidae 0.0024218
_Atlapetes_citrinellus PASSERIFORMES oscines_Emberizidae 0.0020128
_Atlapetes_albinucha PASSERIFORMES oscines_Emberizidae 0.0020128
_Pipilo_chlorurus PASSERIFORMES oscines_Emberizidae 0.0023787
_Pezopetes_capitalis PASSERIFORMES oscines_Emberizidae 0.002162
_Melozone_leucotis PASSERIFORMES oscines_Emberizidae 0.684059
_Melozone_aberti PASSERIFORMES oscines_Emberizidae 0.684033
_Aimophila_rufescens PASSERIFORMES oscines_Emberizidae 0.0021272
_Junco_phaeonotus PASSERIFORMES oscines_Emberizidae 0.0023347
_Zonotrichia_albicollis PASSERIFORMES oscines_Emberizidae 0.002825
