Taxon ORDER Family TermBrLength
Passer_montanus PASSERIFORMES oscines_Passeridae 0.0000020395
Vidua_macroura PASSERIFORMES oscines_Viduidae 0.0000024520
Vidua_chalybeata PASSERIFORMES oscines_Viduidae 0.0000021683
Taeniopygia_guttata PASSERIFORMES oscines_Estrildidae 0.0000025819
Ploceus_cucullatus PASSERIFORMES oscines_Ploceidae 0.0000022091
Chloropsis_sonnerati PASSERIFORMES oscines_Chloropseidae 0.0000024500
Leptocoma_sperata PASSERIFORMES oscines_Nectariniidae 0.0007420571
Aethopyga_pulcherrima PASSERIFORMES oscines_Nectariniidae 0.0000027767
Anthreptes_rectirostris PASSERIFORMES oscines_Nectariniidae 0.0000020847
Arachnothera_robusta PASSERIFORMES oscines_Nectariniidae 0.0007436685
Arachnothera_crassirostris PASSERIFORMES oscines_Nectariniidae 0.0000021908
Arachnothera_longirostra PASSERIFORMES oscines_Nectariniidae 0.0007449595
Arachnothera_dilutior PASSERIFORMES oscines_Nectariniidae 0.0000020128
Arachnothera_flammifera PASSERIFORMES oscines_Nectariniidae 0.0000022907
Arachnothera_chrysogenys PASSERIFORMES oscines_Nectariniidae 0.0015893545
Arachnothera_clarae PASSERIFORMES oscines_Nectariniidae 0.0000025603
Arachnothera_magna PASSERIFORMES oscines_Nectariniidae 0.0007826576
Arachnothera_modesta PASSERIFORMES oscines_Nectariniidae 0.0000021928
Arachnothera_everetti PASSERIFORMES oscines_Nectariniidae 0.0000022507
Arachnothera_flavigaster PASSERIFORMES oscines_Nectariniidae 0.0000020858
Hypogramma_hypogrammicum PASSERIFORMES oscines_Nectariniidae 0.0023138764
Dicaeum_hypoleucum PASSERIFORMES oscines_Dicaeidae 0.0000022396
Picathartes_gymnocephalus PASSERIFORMES oscines_Picathartidae 0.0000020128
Vanga_curvirostris PASSERIFORMES oscines_Vangidae 0.0000022715
Newtonia_amphichroa PASSERIFORMES oscines_Vangidae 0.0000020128
Newtonia_brunneicauda PASSERIFORMES oscines_Vangidae 0.0000020128
Newtonia_archboldi PASSERIFORMES oscines_Vangidae 0.0000021009
Lophorina_superba PASSERIFORMES oscines_Paradisaeidae 0.0000026890
Corvus_albus PASSERIFORMES oscines_Corvidae 0.0000026201
Corvus_brachyrhynchos PASSERIFORMES oscines_Corvidae 0.0000020128
Corvus_corone PASSERIFORMES oscines_Corvidae 0.0000027830
Nucifraga_columbiana PASSERIFORMES oscines_Corvidae 0.0000027268
Aphelocoma_ultramarina PASSERIFORMES oscines_Corvidae 0.0000026324
Aphelocoma_wollweberi PASSERIFORMES oscines_Corvidae 0.0000020792
Aphelocoma_californica PASSERIFORMES oscines_Corvidae 0.0000029859
Malurus_splendens PASSERIFORMES oscines_Maluridae 0.0000020128
Malurus_melanocephalus PASSERIFORMES oscines_Maluridae 0.0000020128
Sericulus_bakeri PASSERIFORMES oscines_Ptilonorhynchidae 0.0000020128
Ptilonorhynchus_violaceus PASSERIFORMES oscines_Ptilonorhynchidae 0.0000020128
Climacteris_erythrops PASSERIFORMES oscines_Climacteridae 0.0000020128
Climacteris_melanurus PASSERIFORMES oscines_Climacteridae 0.0000020128
Menura_novaehollandiae PASSERIFORMES oscines_Menuridae 0.0000023417
Acanthisitta_chloris PASSERIFORMES Acanthisittidae 0.0000026659
Platycercus_elegans PSITTACIFORMES Psittaculidae 0.0000023693
Barnardius_zonarius PSITTACIFORMES Psittaculidae 0.0000022806
Oreopsittacus_arfaki PSITTACIFORMES Psittaculidae 0.0000029689
Neopsittacus_musschenbroekii PSITTACIFORMES Psittaculidae 0.0005852965
Neopsittacus_pullicauda PSITTACIFORMES Psittaculidae 0.0000020665
